,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
575,8/21/2020,2020,0,s,OAK,ANA,1557.622,1467.172,0.659,0.341,1558.718,1466.075,Mike Fiers,Andrew Heaney,48.758,51.187,-6.009,9.748,5,3
577,8/21/2020,2020,0,s,SEA,TEX,1463.592,1475.765,0.517,0.483,1465.763,1473.595,Nick Margevicius,Kolby Allard,43.154,48.951,-17.853,-11.773,7,4
589,8/20/2020,2020,0,s,OAK,ARI,1555.615,1514.983,0.592,0.408,1557.622,1512.977,Sean Manaea,Alex Young,50.109,48.356,0.638,-13.566,5,1
593,8/20/2020,2020,0,s,SEA,LAD,1465.647,1577.32,0.376,0.624,1463.592,1579.374,Yusei Kikuchi,Clayton Kershaw,44.42,55.374,-12.073,17.109,1,6
602,8/19/2020,2020,0,s,SEA,LAD,1463.149,1579.817,0.37,0.63,1465.647,1577.32,Taijuan Walker,Julio Urias,50.05,50.494,14.859,-6.197,6,4
603,8/19/2020,2020,0,s,OAK,ARI,1553.867,1516.731,0.587,0.413,1555.615,1514.983,Jesus Luzardo,Merrill Kelly,46.488,52.661,-15.474,6.437,4,1
628,8/18/2020,2020,0,s,TEX,SDP,1480.971,1482.776,0.532,0.468,1479.142,1484.605,Mike Minor,Adrian Morejon,54.467,46.706,12.103,-21.65,4,6
629,8/18/2020,2020,0,s,ANA,SFG,1476.117,1473.353,0.538,0.462,1472.494,1476.976,Dylan Bundy,Trevor Cahill,54.367,47.09,21.146,-8.059,2,8
630,8/18/2020,2020,0,s,HOU,COL,1562.404,1494.586,0.629,0.371,1563.343,1493.648,Zack Greinke,Antonio Senzatela,57.657,47.233,14.5,-19.198,2,1
633,8/17/2020,2020,0,s,ANA,SFG,1474.839,1474.63,0.535,0.465,1476.117,1473.353,Griffin Canning,Tyler Anderson,50.423,49.566,2.3,3.232,7,6
634,8/17/2020,2020,0,s,HOU,COL,1561.457,1495.533,0.627,0.373,1562.404,1494.586,Brandon Bielak,Kyle Freeland,48.398,50.911,-28.811,-1.347,2,1
635,8/17/2020,2020,0,s,TEX,SDP,1485.902,1477.845,0.546,0.454,1480.971,1482.776,Jordan Lyles,Zach Davies,47.711,52.411,-20.665,5.537,4,14
646,8/16/2020,2020,0,s,ANA,LAD,1477.013,1575.86,0.394,0.606,1474.839,1578.033,Julio Teheran,Dustin May,48.059,50.176,-9.582,-9.173,3,8
