,date,season,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_score,away_score,compare_score,home_win,away_win,win_pitch_rgs,lose_pitch_rgs
165761,10/14/1929,1929,OAK,CHC,ehmkh101,malop103,54.808,56.775,3,2,1,True,False,54.808,56.775
59740,10/24/1995,1995,CLE,ATL,nagyc001,smolj001,54.798,57.749,7,6,1,True,False,54.798,57.749
100856,10/11/1975,1975,BOS,CIN,tianl101,gulld101,54.788,55.761,6,0,6,True,False,54.788,55.761
157104,10/4/1936,1936,NYY,SFG,pearm101,hubbc101,54.788,66.225,5,2,3,True,False,54.788,66.225
100852,10/16/1975,1975,CIN,BOS,gulld101,clevr101,54.77,49.528,6,2,4,True,False,54.77,49.528
175673,10/5/1921,1921,SFG,NYY,dougp101,maysc101,47.994,54.749,0,3,-3,False,True,54.749,47.994
169470,10/10/1926,1926,NYY,STL,hoytw101,hainj101,51.748,54.716,2,3,-1,False,True,54.716,51.748
169476,10/2/1926,1926,NYY,STL,pennh101,sherb101,54.706,54.15,2,1,1,True,False,54.706,54.15
159583,10/6/1934,1934,STL,DET,carlt101,aukee101,50.881,54.685,4,10,-6,False,True,54.685,50.881
57439,10/24/1996,1996,ATL,NYY,smolj001,Andy Pettitte,64.777,54.679,0,1,-1,False,True,54.679,64.777
57438,10/26/1996,1996,NYY,ATL,key-j001,maddg002,54.667,63.813,3,2,1,True,False,54.667,63.813
76280,10/18/1987,1987,MIN,STL,blylb001,cox-d001,54.636,51.164,8,4,4,True,False,54.636,51.164
40369,10/19/2003,2003,NYY,FLA,Andy Pettitte,redmm002,54.621,51.513,6,1,5,True,False,54.621,51.513
144701,10/10/1946,1946,BOS,STL,hught102,mungr101,60.256,54.615,3,12,-9,False,True,54.615,60.256
102797,10/17/1974,1974,OAK,LAD,bluev001,suttd001,54.607,57.003,3,2,1,True,False,54.607,57.003
131017,10/2/1957,1957,NYY,ATL,fordw101,spahw101,54.603,57.81,3,1,2,True,False,54.603,57.81
134741,10/1/1954,1954,CLE,SFG,garcm101,gomer101,56.045,54.595,2,6,-4,False,True,54.595,56.045
72042,10/14/1989,1989,OAK,SFG,stewd001,garrs001,54.555,53.948,5,0,5,True,False,54.555,53.948
131012,10/9/1957,1957,NYY,ATL,turlb101,buhlb101,54.538,51.359,3,2,1,True,False,54.538,51.359
122597,10/5/1963,1963,LAD,NYY,drysd101,boutj101,54.536,53.442,1,0,1,True,False,54.536,53.442
143448,10/6/1947,1947,NYY,LAD,sheas101,gregh102,54.528,47.399,5,2,3,True,False,54.528,47.399
110544,10/14/1970,1970,BAL,CIN,palmj001,nolag101,59.291,54.499,5,6,-1,False,True,54.499,59.291
92557,10/11/1979,1979,BAL,PIT,palmj001,blylb001,55.09,54.479,2,3,-1,False,True,54.479,55.09
80523,10/26/1985,1985,KCR,STL,leibc001,cox-d001,54.441,52.542,2,1,1,True,False,54.441,52.542
15743,10/24/2013,2013,BOS,STL,John Lackey,Michael Wacha,53.868,54.436,2,4,-2,False,True,54.436,53.868
82646,10/13/1984,1984,DET,SDP,morrj001,showe001,54.434,46.341,4,2,2,True,False,54.434,46.341
127283,10/12/1960,1960,PIT,NYY,frieb102,fordw101,54.76,54.432,0,12,-12,False,True,54.432,54.76
4,10/21/2020,2020,LAD,TBD,Tony Gonsolin,Blake Snell,54.975,54.422,4,6,-2,False,True,54.422,54.975
35443,10/25/2005,2005,HOU,CHW,Roy Oswalt,Jon Garland,58.087,54.391,5,7,-2,False,True,54.391,58.087
131011,10/10/1957,1957,NYY,ATL,larsd102,burdl101,51.572,54.294,0,5,-5,False,True,54.294,51.572
163278,10/10/1931,1931,STL,OAK,grimb101,earng101,54.291,60.546,4,2,2,True,False,54.291,60.546
104760,10/14/1973,1973,OAK,NYM,bluev001,koosj001,53.123,54.29,7,10,-3,False,True,54.29,53.123
182800,10/9/1915,1915,PHI,BOS,mayee101,fostr103,51.96,54.267,1,2,-1,False,True,54.267,51.96
162041,10/2/1932,1932,CHC,NYY,bushg101,allej102,52.407,54.261,6,13,-7,False,True,54.261,52.407
181545,10/12/1916,1916,BOS,LAD,shore101,pfefj101,54.249,56.103,4,1,3,True,False,54.249,56.103
67802,10/20/1991,1991,MIN,ATL,tapak001,glavt001,54.241,55.989,3,2,1,True,False,54.241,55.989
102801,10/12/1974,1974,LAD,OAK,messa101,holtk101,54.857,54.143,2,3,-1,False,True,54.143,54.857
150905,10/5/1941,1941,LAD,NYY,higbk101,donaa101,53.271,54.127,4,7,-3,False,True,54.127,53.271
63386,10/21/1993,1993,PHI,TOR,schic002,guzmj003,54.125,56.048,2,0,2,True,False,54.125,56.048
15739,10/30/2013,2013,BOS,STL,John Lackey,Michael Wacha,54.102,54.703,6,1,5,True,False,54.102,54.703
119339,10/6/1965,1965,MIN,LAD,granj101,drysd101,54.06,54.421,8,2,6,True,False,54.06,54.421
0,10/27/2020,2020,LAD,TBD,Tony Gonsolin,Blake Snell,54.056,54.534,3,1,2,True,False,54.056,54.534
25607,10/31/2009,2009,PHI,NYY,Cole Hamels,Andy Pettitte,52.713,54.046,5,8,-3,False,True,54.046,52.713
144698,10/15/1946,1946,STL,BOS,dickm101,ferrd101,54.013,52.921,4,3,1,True,False,54.013,52.921
106716,10/21/1972,1972,CIN,OAK,nolag101,bluev001,54.005,53.87,8,1,7,True,False,54.005,53.87
20677,10/24/2011,2011,TEX,STL,C.J. Wilson,carpc002,53.996,56.143,4,2,2,True,False,53.996,56.143
178147,10/6/1919,1919,CHW,CIN,willl104,elleh101,53.024,53.971,0,5,-5,False,True,53.971,53.024
108597,10/9/1971,1971,BAL,PIT,mcnad102,ellid101,53.95,49.045,5,3,2,True,False,53.95,49.045
110543,10/15/1970,1970,BAL,CIN,cuelm101,merrj102,53.912,47.961,9,3,6,True,False,53.912,47.961
59739,10/25/1995,1995,CLE,ATL,hillk001,avers001,51.526,53.889,2,5,-3,False,True,53.889,51.526
102798,10/16/1974,1974,OAK,LAD,holtk101,messa101,53.859,54.948,5,2,3,True,False,53.859,54.948
25604,11/4/2009,2009,NYY,PHI,Andy Pettitte,martp001,53.814,51.043,7,3,4,True,False,53.814,51.043
82649,10/9/1984,1984,SDP,DET,thurm001,morrj001,50.104,53.801,2,3,-1,False,True,53.801,50.104
145952,10/4/1945,1945,DET,CHC,trucv101,wyseh101,53.799,55.454,4,1,3,True,False,53.799,55.454
157102,10/6/1936,1936,SFG,NYY,fitzf101,gomel102,54.349,53.787,5,13,-8,False,True,53.787,54.349
82647,10/12/1984,1984,DET,SDP,wilcm001,lollt001,53.768,47.226,5,2,3,True,False,53.768,47.226
89007,10/28/1981,1981,NYY,LAD,johnt001,hootb001,53.859,53.762,2,9,-7,False,True,53.762,53.859
35442,10/26/2005,2005,HOU,CHW,backb001,Freddy Garcia,49.033,53.754,0,1,-1,False,True,53.754,49.033
174423,10/8/1922,1922,SFG,NYY,nehfa101,bushj102,53.718,55.014,5,3,2,True,False,53.718,55.014
154632,10/8/1938,1938,NYY,CHC,pearm101,bryac101,53.717,54.225,5,2,3,True,False,53.717,54.225
89008,10/25/1981,1981,LAD,NYY,reusj001,guidr001,53.711,55.233,2,1,1,True,False,53.711,55.233
178150,10/2/1919,1919,CIN,CHW,salls101,willl104,53.691,53.262,4,2,2,True,False,53.691,53.262
171949,10/7/1924,1924,SFG,MIN,barnv101,mogrg101,53.734,53.684,4,7,-3,False,True,53.684,53.734
171947,10/9/1924,1924,MIN,SFG,zacht101,nehfa101,53.684,54.166,2,1,1,True,False,53.684,54.166
3418,10/27/2018,2018,LAD,BOS,Rich Hill,Eduardo Rodriguez,54.474,53.638,6,9,-3,False,True,53.638,54.474
74160,10/19/1988,1988,OAK,LAD,stewd001,belct001,56.757,53.634,3,4,-1,False,True,53.634,56.757
96786,10/11/1977,1977,NYY,LAD,gulld101,suttd001,53.625,56.499,4,3,1,True,False,53.625,56.499
